Customers,Nash,Fixed,RandomBest,RandomAvg
5,78.6668,44.2676,78.3735,44.0930
10,85.9075,44.2676,78.6349,44.4026
15,152.0266,44.2676,78.4209,53.5826
20,169.6148,44.2676,78.5450,45.7541
25,184.8923,44.2676,78.4255,49.4923
30,184.8923,44.2676,78.3198,49.1706
35,194.2886,44.2676,78.3095,48.8918
40,194.2886,44.2676,78.2686,47.3603
45,205.1573,44.2676,78.5787,52.8349
50,246.3375,44.2676,78.5065,47.8889
55,281.9882,44.2676,103.7127,65.5687
60,380.8111,44.2676,203.2687,109.1319
